,insertion_timestamp,device_id,Soil moisture,device_name
45,2025-01-13T19:42:14.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
46,2025-01-13T19:42:15.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
47,2025-01-13T19:42:16.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
48,2025-01-13T19:42:17.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
49,2025-01-13T19:42:18.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
50,2025-01-13T19:42:19.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
51,2025-01-13T19:42:20.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
52,2025-01-13T19:42:21.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
53,2025-01-13T19:42:22.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
54,2025-01-13T19:42:23.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
55,2025-01-13T19:42:24.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
56,2025-01-13T19:42:25.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
57,2025-01-13T19:42:26.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
58,2025-01-13T19:42:27.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
59,2025-01-13T19:42:28.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
60,2025-01-13T19:42:29.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
61,2025-01-13T19:42:30.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
62,2025-01-13T19:42:31.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
63,2025-01-13T19:42:32.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
64,2025-01-13T19:42:33.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
65,2025-01-13T19:42:34.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
66,2025-01-13T19:42:35.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
67,2025-01-13T19:42:36.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
68,2025-01-13T19:42:37.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
